Price,total_return
Ticker,
Date,
2015-01-31,
2015-02-28,0.0048026305403558725
2015-03-31,-0.039229153946120504
2015-04-30,-0.03570035920386286
2015-05-31,0.031569579615596116
2015-06-30,-0.0069750523329046585
2015-07-31,0.020389076223337604
2015-08-31,-0.06506034828863363
2015-09-30,-0.002060068984054226
2015-10-31,0.015456425263863566
2015-11-30,-0.015435599425816432
2015-12-31,0.0021488340198796132
2016-01-31,-0.04742309686388671
2016-02-29,-0.07547082420118592
2016-03-31,0.10828467037721443
2016-04-30,0.01514572828357072
2016-05-31,0.04027970785107857
2016-06-30,0.016393178492432242
2016-07-31,0.04307149859732748
2016-08-31,0.01784789839815934
2016-09-30,-0.019173266121444682
2016-10-31,0.0038680049304715405
2016-11-30,-0.0471198772864089
2016-12-31,-0.003955476966684885
2017-01-31,0.04662212110720995
2017-02-28,0.037928911140715255
2017-03-31,0.03387653763289486
2017-04-30,0.014953548678294099
2017-05-31,0.03484270177731538
2017-06-30,-0.009679997076783159
2017-07-31,0.05916876250461309
2017-08-31,-0.0150481189946651
2017-09-30,-0.012287112307784703
2017-10-31,0.056600705629935105
2017-11-30,-0.009772191136698055
2017-12-31,0.030491251588643048
2018-01-31,0.04794534226425215
2018-02-28,-0.047750646233096466
2018-03-31,-0.0353840749345862
2018-04-30,0.06261157410049353
2018-05-31,0.0004521031192422357
2018-06-30,-0.001285234710998535
2018-07-31,0.06068860607032264
2018-08-31,0.029279916787742638
2018-09-30,-0.06346384398677288
2018-10-31,-0.04900555226176587
2018-11-30,0.047940650362856746
2018-12-31,-0.000555554996896996
2019-01-31,-0.0021590416102270924
2019-02-28,-0.0028000297406169114
2019-03-31,0.07279076905258283
2019-04-30,0.016147613710026015
2019-05-31,0.01561612004915
2019-06-30,-0.010484793631260786
2019-07-31,-0.05615543450834351
2019-08-31,-0.0077722162259399605
2019-09-30,0.04168168487628418
2019-10-31,0.03587150849411788
2019-11-30,0.015786864515372673
2019-12-31,0.010073152479122854
2020-01-31,-0.01620783625896663
2020-02-29,-0.0628132233641571
2020-03-31,-0.23171367755038277
2020-04-30,0.14755008032624814
2020-05-31,-0.027607343873711915
2020-06-30,0.07609208943381238
2020-07-31,0.07562314384298549
2020-08-31,0.029110610211661142
2020-09-30,-0.011539808589462158
2020-10-31,0.03585547566305888
2020-11-30,0.11469126298522589
2020-12-31,0.07884420110608234
2021-01-31,-0.024078822616982826
2021-02-28,0.06635887791929848
2021-03-31,0.011869012491724201
2021-04-30,-0.0033070282658493053
2021-05-31,0.06579638890590897
2021-06-30,0.009650852032429852
2021-07-31,0.003392865164742547
2021-08-31,0.08760815441979705
2021-09-30,0.02911478642760354
2021-10-31,0.003786641123716821
2021-11-30,-0.038207944315163195
2021-12-31,0.022586378277336977
2022-01-31,-6.832029040407326e-05
2022-02-28,-0.03073523378512036
2022-03-31,0.04069602765117583
2022-04-30,-0.019988872228345694
2022-05-31,-0.02953787966341828
2022-06-30,-0.047746989267826195
2022-07-31,0.08807434530504896
2022-08-31,0.03577984169422874
2022-09-30,-0.03669241848626417
2022-10-31,0.0544431577011639
2022-11-30,0.04217472451938506
2022-12-31,-0.034063767827347685
2023-01-31,-0.023726278852209376
2023-02-28,-0.01953072255941904
2023-03-31,0.003974742545449466
2023-04-30,0.04137558504586766
2023-05-31,0.026733968481871012
2023-06-30,0.03607082920557467
2023-07-31,0.030180846081861973
2023-08-31,-0.02456158461791272
2023-09-30,0.020720083017293972
2023-10-31,-0.02769956791824016
2023-11-30,0.05596870494244152
2023-12-31,0.08013399947303942
2024-01-31,0.00048765280780246813
2024-02-29,0.012583983335188148
2024-03-31,0.01640312867996771
2024-04-30,0.013199073265302425
2024-05-31,-0.002530286836955915
2024-06-30,0.06643373117304005
2024-07-31,0.03992231541701116
2024-08-31,0.012162299454817588
2024-09-30,0.023532988118133175
2024-10-31,-0.061452524298806904
2024-11-30,-0.0023175037212122282
2024-12-31,-0.019402369183212503
2025-01-31,-0.005018726574899463
2025-02-28,-0.058109860683111886
2025-03-31,0.06378590285390537
2025-04-30,0.03539592443705139
2025-05-31,0.017865829300808905
2025-06-30,0.004196398847002374
